Episode,name,Title,Season,Date,isSerie
Capitulo 7,Los Simuladores,Los Simuladores Season 2 Capitulo 7,2,21-Apr-20,TRUE
Capitulo 6,Los Simuladores,Los Simuladores Season 2 Capitulo 6,2,19-Apr-20,TRUE
Capitulo 2,Los Simuladores,Los Simuladores Season 2 Capitulo 2,2,16-Apr-20,TRUE
Capitulo 1,Los Simuladores,Los Simuladores Season 2 Capitulo 1,2,15-Apr-20,TRUE
Capitulo 13,Los Simuladores,Los Simuladores Season 1 Capitulo 13,1,15-Apr-20,TRUE
Capitulo 11,Los Simuladores,Los Simuladores Season 2 Capitulo 11,2,13-Apr-20,TRUE
Capitulo 10,Los Simuladores,Los Simuladores Season 2 Capitulo 10,2,13-Apr-20,TRUE
Captulo 9,Los Simuladores,Los Simuladores Season 2 Captulo 9,2,12-Apr-20,TRUE
Capitulo 8,Los Simuladores,Los Simuladores Season 2 Capitulo 8,2,12-Apr-20,TRUE
All In,Ozark,Ozark Season 3 All In,3,03-Apr-20,TRUE
Fire Pink,Ozark,Ozark Season 3 Fire Pink,3,03-Apr-20,TRUE
BFF,Ozark,Ozark Season 3 BFF,3,03-Apr-20,TRUE
In Case of Emergency,Ozark,Ozark Season 3 In Case of Emergency,3,03-Apr-20,TRUE
Su Casa Es Mi Casa,Ozark,Ozark Season 3 Su Casa Es Mi Casa,3,03-Apr-20,TRUE
It Came From Michoacán,Ozark,Ozark Season 3 It Came From Michoacán,3,03-Apr-20,TRUE
Boss Fight,Ozark,Ozark Season 3 Boss Fight,3,31-mar.-20,TRUE
Kevin Cronin Was Here,Ozark,Ozark Season 3 Kevin Cronin Was Here,3,31-mar.-20,TRUE
Civil Union,Ozark,Ozark Season 3 Civil Union,3,31-mar.-20,TRUE
Wartime,Ozark,Ozark Season 3 Wartime,3,31-mar.-20,TRUE
Capitulo 10,Los Simuladores,Los Simuladores Season 1 Capitulo 10,1,27-mar.-20,TRUE
Capitulo 9,Los Simuladores,Los Simuladores Season 1 Capitulo 9,1,27-mar.-20,TRUE
Capitulo 11,Los Simuladores,Los Simuladores Season 1 Capitulo 11,1,26-mar.-20,TRUE
The One Where Nana Dies Twice,Friends,Friends Season 1 The One Where Nana Dies Twice,1,26-mar.-20,TRUE
The Fresh Prince Project,The Fresh Prince of Bel-Air,The Fresh Prince of Bel-Air Season 1 The Fresh Prince Project,1,25-mar.-20,TRUE
,Uncut Gems,Uncut Gems,,25-mar.-20,FALSE
The One with the Blackout,Friends,Friends Season 1 The One with the Blackout,1,25-mar.-20,TRUE
The One with the Butt,Friends,Friends Season 1 The One with the Butt,1,25-mar.-20,TRUE
The One with the East German Laundry Detergent,Friends,Friends Season 1 The One with the East German Laundry Detergent,1,25-mar.-20,TRUE
The One with George Stephanopoulos,Friends,Friends Season 1 The One with George Stephanopoulos,1,25-mar.-20,TRUE
The One with the Thumb,Friends,Friends Season 1 The One with the Thumb,1,25-mar.-20,TRUE
The One with the Sonogram at the End,Friends,Friends Season 1 The One with the Sonogram at the End,1,25-mar.-20,TRUE
,Me Before You,Me Before You,,24-mar.-20,FALSE
Capitulo 5,Los Simuladores,Los Simuladores Season 1 Capitulo 5,1,18-mar.-20,TRUE
Capitulo 8,Los Simuladores,Los Simuladores Season 1 Capitulo 8,1,18-mar.-20,TRUE
Capitulo 7,Los Simuladores,Los Simuladores Season 1 Capitulo 7,1,18-mar.-20,TRUE
Capitulo 6,Los Simuladores,Los Simuladores Season 1 Capitulo 6,1,18-mar.-20,TRUE
Capitulo 12,Los Simuladores,Los Simuladores Season 1 Capitulo 12,1,17-mar.-20,TRUE
Welcome,Elite,Elite Season 1 Welcome,1,17-mar.-20,TRUE
Capitulo 5,Los Simuladores,Los Simuladores Season 2 Capitulo 5,2,17-mar.-20,TRUE
Capitulo 4,Los Simuladores,Los Simuladores Season 2 Capitulo 4,2,17-mar.-20,TRUE
"Deepest, Darkest Secret",I Am Not Okay With This,"I Am Not Okay With This Season 1 Deepest, Darkest Secret",1,16-mar.-20,TRUE
"Like Father, Like Daughter",I Am Not Okay With This,"I Am Not Okay With This Season 1 Like Father, Like Daughter",1,16-mar.-20,TRUE
Another Day in Paradise,I Am Not Okay With This,I Am Not Okay With This Season 1 Another Day in Paradise,1,16-mar.-20,TRUE
Stan by Me,I Am Not Okay With This,I Am Not Okay With This Season 1 Stan by Me,1,15-mar.-20,TRUE
The Party's Over,I Am Not Okay With This,I Am Not Okay With This Season 1 The Party's Over,1,15-mar.-20,TRUE
The Master of One F**k,I Am Not Okay With This,I Am Not Okay With This Season 1 The Master of One F**k,1,15-mar.-20,TRUE
Operation DD,Paradise PD,Paradise PD Part 2 Operation DD,2,11-mar.-20,TRUE
Paradise PD Meets Brickleberry,Paradise PD,Paradise PD Part 2 Paradise PD Meets Brickleberry,2,11-mar.-20,TRUE
Flip the Vote,Paradise PD,Paradise PD Part 2 Flip the Vote,2,11-mar.-20,TRUE
"The Father, the Son and the Post-it Note",Paradise PD,"Paradise PD Part 2 The Father, the Son and the Post-it Note",2,11-mar.-20,TRUE
Who Ate Wally's Waffles,Paradise PD,Paradise PD Part 2 Who Ate Wally's Waffles,2,11-mar.-20,TRUE
Tucker Carlson Is a Huge D**k,Paradise PD,Paradise PD Part 2 Tucker Carlson Is a Huge D**k,2,10-mar.-20,TRUE
Dear Diary...,I Am Not Okay With This,I Am Not Okay With This Season 1 Dear Diary...,1,27-feb.-20,TRUE
Capitulo 4,Los Simuladores,Los Simuladores Season 1 Capitulo 4,1,25-feb.-20,TRUE
Capitulo 3,Los Simuladores,Los Simuladores Season 1 Capitulo 3,1,25-feb.-20,TRUE
Capitulo 3,Los Simuladores,Los Simuladores Season 2 Capitulo 3,2,24-feb.-20,TRUE
Capitulo 2,Los Simuladores,Los Simuladores Season 1 Capitulo 2,1,15-feb.-20,TRUE
Capitulo 1,Los Simuladores,Los Simuladores Season 1 Capitulo 1,1,15-feb.-20,TRUE
Endgame,Suits,Suits Season 3 Endgame,3,15-feb.-20,TRUE
USA vs. Theodore J. Kaczynski,Manhunt Unabomber,Manhunt Unabomber USA vs. Theodore J. Kaczynski,,13-feb.-20,TRUE
Lincoln,Manhunt Unabomber,Manhunt Unabomber Lincoln,,12-feb.-20,TRUE
Ted,Manhunt Unabomber,Manhunt Unabomber Ted,,12-feb.-20,TRUE
Abri,Manhunt Unabomber,Manhunt Unabomber Abri,,12-feb.-20,TRUE
Publish or Perish,Manhunt Unabomber,Manhunt Unabomber Publish or Perish,,12-feb.-20,TRUE
Fruit of the Poisonous Tree,Manhunt Unabomber,Manhunt Unabomber Fruit of the Poisonous Tree,,12-feb.-20,TRUE
Pure Wudder,Manhunt Unabomber,Manhunt Unabomber Pure Wudder,,11-feb.-20,TRUE
UNABOM,Manhunt Unabomber,Manhunt Unabomber UNABOM,,11-feb.-20,TRUE
,Porno para principiantes,Porno para principiantes,,07-feb.-20,FALSE
Prickly-Muffin,BoJack Horseman,BoJack Horseman Season 1 Prickly-Muffin,1,04-feb.-20,TRUE
BoJack Hates the Troops,BoJack Horseman,BoJack Horseman Season 1 BoJack Hates the Troops,1,04-feb.-20,TRUE
"BoJack Horseman The BoJack Horseman Story, Chapter One",BoJack Horseman,"BoJack Horseman Season 1 BoJack Horseman The BoJack Horseman Story, Chapter One",1,04-feb.-20,TRUE
Whenever You're Ready,The Good Place,The Good Place Season 4 Whenever You're Ready,4,03-feb.-20,TRUE
Nice While It Lasted,BoJack Horseman,BoJack Horseman Season 6 Nice While It Lasted,6,03-feb.-20,TRUE
The View from Halfway Down,BoJack Horseman,BoJack Horseman Season 6 The View from Halfway Down,6,03-feb.-20,TRUE
Angela,BoJack Horseman,BoJack Horseman Season 6 Angela,6,02-feb.-20,TRUE
The Horny Unicorn,BoJack Horseman,BoJack Horseman Season 6 The Horny Unicorn,6,02-feb.-20,TRUE
Xerox of a Xerox,BoJack Horseman,BoJack Horseman Season 6 Xerox of a Xerox,6,02-feb.-20,TRUE
Sunk Cost and All That,BoJack Horseman,BoJack Horseman Season 6 Sunk Cost and All That,6,02-feb.-20,TRUE
Good Damage,BoJack Horseman,BoJack Horseman Season 6 Good Damage,6,02-feb.-20,TRUE
Intermediate Scene Study w/ BoJack Horseman,BoJack Horseman,BoJack Horseman Season 6 Intermediate Scene Study w/ BoJack Horseman,6,31-Jan-20,TRUE
Episode 5,Sex Education,Sex Education Season 2 Episode 5,2,28-Jan-20,TRUE
Episode 4,Sex Education,Sex Education Season 2 Episode 4,2,28-Jan-20,TRUE
Episode 3,Sex Education,Sex Education Season 2 Episode 3,2,27-Jan-20,TRUE
,Monsters University,Monsters University,,27-Jan-20,FALSE
Episode 2,Sex Education,Sex Education Season 2 Episode 2,2,27-Jan-20,TRUE
Episode 1,Sex Education,Sex Education Season 2 Episode 1,2,27-Jan-20,TRUE
Episode 1,Sex Education,Sex Education Season 1 Episode 1,1,27-Jan-20,TRUE
Episode 2,Sex Education,Sex Education Season 1 Episode 2,1,27-Jan-20,TRUE
Patty,The Good Place,The Good Place Season 4 Patty,4,24-Jan-20,TRUE
Episode 8,Sex Education,Sex Education Season 2 Episode 8,2,21-Jan-20,TRUE
Episode 7,Sex Education,Sex Education Season 2 Episode 7,2,21-Jan-20,TRUE
Episode 6,Sex Education,Sex Education Season 2 Episode 6,2,21-Jan-20,TRUE
"Mondays, Am I Right?",The Good Place,"The Good Place Season 4 Mondays, Am I Right?",4,20-Jan-20,TRUE
Episode 7,Sex Education,Sex Education Season 1 Episode 7,1,19-Jan-20,TRUE
"You've Changed, Man",The Good Place,"The Good Place Season 4 You've Changed, Man",4,18-Jan-20,TRUE
,The Angry Birds Movie,The Angry Birds Movie,,16-Jan-20,FALSE
Episode 1,"Nisman The Prosecutor, the President, and the Spy","Nisman The Prosecutor, the President, and the Spy Season 1 Episode 1",1,13-Jan-20,TRUE
,The App,The App,,13-Jan-20,FALSE
,6 Underground,6 Underground,,09-Jan-20,FALSE
"Love, Actually",You,"You Season 2 Love, Actually",2,07-Jan-20,TRUE
P.I. Joe,You,You Season 2 P.I. Joe,2,07-Jan-20,TRUE
Fear and Loathing in Beverly Hills,You,You Season 2 Fear and Loathing in Beverly Hills,2,07-Jan-20,TRUE
,Get Out,Get Out,,07-Jan-20,FALSE
Ex-istential Crisis,You,You Season 2 Ex-istential Crisis,2,06-Jan-20,TRUE
"Farewell, My Bunny",You,"You Season 2 Farewell, My Bunny",2,06-Jan-20,TRUE
"Have a Good Wellkend, Joe!",You,"You Season 2 Have a Good Wellkend, Joe!",2,06-Jan-20,TRUE
"The Good, the Bad, & the Hendy",You,"You Season 2 The Good, the Bad, & the Hendy",2,06-Jan-20,TRUE
What Are Friends For?,You,You Season 2 What Are Friends For?,2,05-Jan-20,TRUE
Just the Tip,You,You Season 2 Just the Tip,2,05-Jan-20,TRUE
A Fresh Start,You,You Season 2 A Fresh Start,2,05-Jan-20,TRUE
The End’s Beginning,The Witcher,The Witcher Season 1 The End’s Beginning,1,23-Dec-19,TRUE
Closing the Net,Don't F**k with Cats Hunting an Internet Killer,Don't F**k with Cats Hunting an Internet Killer,1,20-Dec-19,TRUE
Killing for Clicks,Don't F**k with Cats Hunting an Internet Killer,Don't F**k with Cats Hunting an Internet Killer,1,20-Dec-19,TRUE
Cat and Mouse,Don't F**k with Cats Hunting an Internet Killer,Don't F**k with Cats Hunting an Internet Killer,1,20-Dec-19,TRUE
Pilot,The Office (U.S.),The Office (U.S.) Season 1 Pilot,1,19-Dec-19,TRUE
Novo Mundo,Mars,Mars Season 1 Novo Mundo,1,19-Dec-19,TRUE
She's Mine,Suits,Suits Season 3 She's Mine,3,18-Dec-19,TRUE
The Other Time,Suits,Suits Season 3 The Other Time,3,18-Dec-19,TRUE
,The Irishman,The Irishman,,18-Dec-19,FALSE
,I Am Mother,I Am Mother,,10-Dec-19,FALSE
Handsome Devil,Conversations with a Killer The Ted Bundy Tapes,Conversations with a Killer The Ted Bundy Tapes Limited Series Handsome Devil,1,10-Dec-19,TRUE
